GEYLANG,11,5-ROOM,7400
GEYLANG,11,5-ROOM,7400
CHOA CHU KANG,641,EXECUTIVE,6600
TAMPINES,110,EXECUTIVE,6550
ANG MO KIO,549,5-ROOM,6500
BUKIT MERAH,42,3-ROOM,6300
BUKIT MERAH,42,3-ROOM,6300
CENTRAL,1B,5-ROOM,6250
BUKIT MERAH,21,3-ROOM,6200
JURONG EAST,216,EXECUTIVE,6150
ANG MO KIO,639,5-ROOM,6100
BUKIT MERAH,3,5-ROOM,6100
BUKIT MERAH,25,3-ROOM,6000
BUKIT MERAH,104B,5-ROOM,6000
BUKIT MERAH,110A,4-ROOM,6000
CENTRAL,1B,5-ROOM,6000
CENTRAL,1B,5-ROOM,6000
CENTRAL,1C,4-ROOM,6000
CENTRAL,1F,5-ROOM,6000
CENTRAL,1F,5-ROOM,6000
JURONG WEST,457,4-ROOM,6000
JURONG WEST,628,EXECUTIVE,6000
JURONG WEST,910,EXECUTIVE,6000
CENTRAL,1D,5-ROOM,5900
CENTRAL,1F,5-ROOM,5900
BUKIT MERAH,95,5-ROOM,5800
BUKIT MERAH,93B,4-ROOM,5800
CENTRAL,1C,5-ROOM,5800
CLEMENTI,429,5-ROOM,5800
CLEMENTI,429,5-ROOM,5800
CLEMENTI,312C,5-ROOM,5800
CLEMENTI,440C,5-ROOM,5800
TAMPINES,139,EXECUTIVE,5800
TAMPINES,139,EXECUTIVE,5800
BUKIT MERAH,83,5-ROOM,5700
BUKIT MERAH,83,5-ROOM,5700
CENTRAL,1A,5-ROOM,5700
CENTRAL,1E,4-ROOM,5700
CENTRAL,1F,4-ROOM,5700
ANG MO KIO,504,5-ROOM,5600
ANG MO KIO,504,5-ROOM,5600
BEDOK,640,EXECUTIVE,5600
BUKIT MERAH,45,3-ROOM,5600
BUKIT MERAH,67,5-ROOM,5600
BUKIT MERAH,95C,5-ROOM,5600
CENTRAL,1B,4-ROOM,5600
CENTRAL,1B,5-ROOM,5600
CENTRAL,1F,4-ROOM,5600
CLEMENTI,305,5-ROOM,5600
KALLANG/WHAMPOA,8,5-ROOM,5600
KALLANG/WHAMPOA,8,5-ROOM,5600
BUKIT MERAH,19,3-ROOM,5500
BUKIT MERAH,96A,5-ROOM,5500
BUKIT TIMAH,9,4-ROOM,5500
CENTRAL,1A,5-ROOM,5500
CENTRAL,1A,4-ROOM,5500
CENTRAL,1A,4-ROOM,5500
CENTRAL,1B,5-ROOM,5500
CENTRAL,1B,4-ROOM,5500
CENTRAL,1B,5-ROOM,5500
CENTRAL,1B,4-ROOM,5500
CENTRAL,1F,5-ROOM,5500
CENTRAL,1G,4-ROOM,5500
TOA PAYOH,138A,5-ROOM,5500
TOA PAYOH,138A,5-ROOM,5500
BUKIT MERAH,27,3-ROOM,5400
BUKIT MERAH,123,4-ROOM,5400
BUKIT TIMAH,2,EXECUTIVE,5400
CENTRAL,1E,5-ROOM,5400
CLEMENTI,425,5-ROOM,5400
CLEMENTI,441A,4-ROOM,5400
JURONG EAST,277,5-ROOM,5400
TOA PAYOH,138B,5-ROOM,5400
YISHUN,133,5-ROOM,5400
CENTRAL,1D,4-ROOM,5388
JURONG EAST,285D,EXECUTIVE,5350
BUKIT MERAH,35,3-ROOM,5300
BUKIT MERAH,35,3-ROOM,5300
BUKIT MERAH,56,5-ROOM,5300
BUKIT MERAH,90A,4-ROOM,5300
BUKIT MERAH,90A,4-ROOM,5300
BUKIT TIMAH,5,5-ROOM,5300
CENTRAL,1B,5-ROOM,5300
CENTRAL,1C,4-ROOM,5300
CENTRAL,1G,4-ROOM,5300
CENTRAL,1G,5-ROOM,5300
CENTRAL,1G,5-ROOM,5300
CLEMENTI,605,5-ROOM,5300
CLEMENTI,605,5-ROOM,5300
KALLANG/WHAMPOA,2B,5-ROOM,5300
MARINE PARADE,73,5-ROOM,5300
MARINE PARADE,78,5-ROOM,5300
CENTRAL,1E,4-ROOM,5250
BUKIT MERAH,17,3-ROOM,5200
BUKIT MERAH,17,3-ROOM,5200
BUKIT MERAH,50,3-ROOM,5200
BUKIT MERAH,113,5-ROOM,5200
BUKIT MERAH,120,5-ROOM,5200
BUKIT MERAH,112B,5-ROOM,5200
BUKIT MERAH,8A,4-ROOM,5200
BUKIT MERAH,96B,4-ROOM,5200
CENTRAL,1A,5-ROOM,5200
CENTRAL,1A,4-ROOM,5200
CENTRAL,1B,5-ROOM,5200
CENTRAL,1B,4-ROOM,5200
CENTRAL,1C,4-ROOM,5200
CENTRAL,1C,5-ROOM,5200
CENTRAL,1C,4-ROOM,5200
CENTRAL,1D,4-ROOM,5200
CENTRAL,1E,4-ROOM,5200
CENTRAL,1E,5-ROOM,5200
CENTRAL,1F,5-ROOM,5200
CENTRAL,1G,4-ROOM,5200
CLEMENTI,415,5-ROOM,5200
CLEMENTI,311C,5-ROOM,5200
JURONG EAST,285D,EXECUTIVE,5200
KALLANG/WHAMPOA,105,EXECUTIVE,5200
TOA PAYOH,138C,5-ROOM,5200
YISHUN,665,EXECUTIVE,5188
BUKIT MERAH,93B,4-ROOM,5150
CENTRAL,1G,4-ROOM,5150
PASIR RIS,534,EXECUTIVE,5150
ANG MO KIO,178,5-ROOM,5100
BISHAN,273B,5-ROOM,5100
BUKIT MERAH,9,4-ROOM,5100
BUKIT MERAH,9,5-ROOM,5100
BUKIT MERAH,87,5-ROOM,5100
BUKIT MERAH,6B,5-ROOM,5100
BUKIT MERAH,95A,4-ROOM,5100
BUKIT MERAH,9B,5-ROOM,5100
BUKIT TIMAH,7,EXECUTIVE,5100
CENTRAL,1C,5-ROOM,5100
CLEMENTI,416,5-ROOM,5100
CLEMENTI,311C,4-ROOM,5100
JURONG WEST,657A,4-ROOM,5100
BUKIT MERAH,12,5-ROOM,5050
BUKIT MERAH,12,5-ROOM,5050
CENTRAL,1C,4-ROOM,5050
ANG MO KIO,176,5-ROOM,5000
ANG MO KIO,565,5-ROOM,5000
ANG MO KIO,565,5-ROOM,5000
BUKIT MERAH,2,5-ROOM,5000
BUKIT MERAH,13,5-ROOM,5000
BUKIT MERAH,18,3-ROOM,5000
BUKIT MERAH,22,5-ROOM,5000
BUKIT MERAH,38,3-ROOM,5000
BUKIT MERAH,67,5-ROOM,5000
BUKIT MERAH,82,5-ROOM,5000
BUKIT MERAH,83,5-ROOM,5000
BUKIT MERAH,94,5-ROOM,5000
BUKIT MERAH,95,5-ROOM,5000
BUKIT MERAH,10A,4-ROOM,5000
BUKIT MERAH,10A,4-ROOM,5000
BUKIT MERAH,10B,4-ROOM,5000
BUKIT MERAH,26C,4-ROOM,5000
BUKIT MERAH,4A,5-ROOM,5000
BUKIT MERAH,6A,5-ROOM,5000
BUKIT MERAH,6A,5-ROOM,5000
BUKIT MERAH,74A,5-ROOM,5000
BUKIT MERAH,74A,5-ROOM,5000
BUKIT MERAH,75C,5-ROOM,5000
BUKIT MERAH,75C,5-ROOM,5000
BUKIT MERAH,77A,5-ROOM,5000
BUKIT MERAH,8B,5-ROOM,5000
BUKIT MERAH,90A,4-ROOM,5000
BUKIT MERAH,90A,4-ROOM,5000
BUKIT MERAH,91A,4-ROOM,5000
